,0
10,"[[ 0.000000e+00  0.000000e+00  6.670663e+00 ... -1.334577e+01
   1.148094e+00  6.183090e-01]
 [ 1.000000e+00  1.000000e-02  5.683906e+00 ... -1.420578e+01
   8.370255e-01  5.537109e-01]
 [ 2.000000e+00  2.000000e-02  5.009297e+00 ... -1.182286e+01
   5.105447e-01  5.163345e-01]
 ...
 [ 9.300000e+01  9.300000e-01  1.755729e+00 ...  4.534505e+00
   7.584879e+00  4.830490e+00]
 [ 9.400000e+01  9.400000e-01  2.096483e+00 ...  5.703020e+00
   5.444758e+00  4.387611e+00]
 [ 9.500000e+01  9.500000e-01  2.609448e+00 ...  2.129466e+00
   4.322443e+00  4.005646e+00]]"
11,"[[ 0.000000e+00  0.000000e+00  1.092108e+01 ...  6.293011e-01
  -6.436497e+00  3.992813e+00]
 [ 1.000000e+00  1.000000e-02  9.580196e+00 ...  9.812544e-01
  -7.578800e+00  4.301529e+00]
 [ 2.000000e+00  2.000000e-02  8.622979e+00 ...  2.698264e-01
  -6.492272e+00  4.318871e+00]
 ...
 [ 9.300000e+01  9.300000e-01  6.194314e+00 ... -7.454450e+00
  -5.217876e+00  5.146599e+00]
 [ 9.400000e+01  9.400000e-01  7.636613e+00 ... -4.330218e+00
  -7.579399e-01  3.737267e+00]
 [ 9.500000e+01  9.500000e-01  9.553759e+00 ... -1.130245e+00
   3.783938e+00  8.671188e-01]]"
12,"[[ 0.000000e+00  0.000000e+00  4.716351e+00 ...  1.695123e-01
   4.377136e-01 -3.055801e+00]
 [ 1.000000e+00  1.000000e-02  5.477881e+00 ...  2.325230e-01
  -2.341578e+00 -3.163338e+00]
 [ 2.000000e+00  2.000000e-02  6.493425e+00 ...  6.367207e-01
  -3.598351e+00 -3.629311e+00]
 ...
 [ 9.300000e+01  9.300000e-01 -2.310096e+00 ... -1.189506e+00
   4.920125e-01  4.917465e+00]
 [ 9.400000e+01  9.400000e-01 -2.567533e+00 ... -5.965688e-01
   3.841033e+00  5.621101e+00]
 [ 9.500000e+01  9.500000e-01 -1.911695e+00 ...  9.020550e-01
   5.545520e+00  6.322624e+00]]"
13,"[[ 0.000000e+00  0.000000e+00 -5.106912e+00 ... -3.328672e+00
   6.116247e+00  5.312424e-01]
 [ 1.000000e+00  1.000000e-02 -2.109670e+00 ... -3.027208e+00
   7.139023e+00 -1.063675e+00]
 [ 2.000000e+00  2.000000e-02 -6.488171e-01 ... -5.016013e+00
   8.700692e+00 -2.444664e+00]
 ...
 [ 9.300000e+01  9.300000e-01  9.425717e+00 ... -3.622265e+00
  -6.048476e-01  1.403839e+00]
 [ 9.400000e+01  9.400000e-01  1.069434e+01 ... -1.268951e+00
  -1.066616e+00  2.949677e-01]
 [ 9.500000e+01  9.500000e-01  4.994246e+00 ...  1.657184e-01
  -3.211248e+00  1.136703e+00]]"
14,"[[ 0.000000e+00  0.000000e+00  8.107714e+00 ... -7.787017e+00
   9.792987e-01  9.057693e-01]
 [ 1.000000e+00  1.000000e-02  8.277045e+00 ... -6.471300e+00
   3.142005e+00  1.751183e+00]
 [ 2.000000e+00  2.000000e-02  7.141734e+00 ... -6.983398e+00
   2.881446e+00  1.781647e+00]
 ...
 [ 9.300000e+01  9.300000e-01  5.590905e+00 ... -1.243613e+01
  -8.992374e+00  7.064438e+00]
 [ 9.400000e+01  9.400000e-01  5.432867e+00 ... -1.696351e+01
  -1.170582e+01  6.661392e+00]
 [ 9.500000e+01  9.500000e-01  6.718014e+00 ... -1.653909e+01
  -1.007565e+01  6.225952e+00]]"
15,"[[ 0.000000e+00  0.000000e+00  1.839458e+00 ...  2.815390e+00
   1.373153e+00 -3.052446e+01]
 [ 1.000000e+00  1.000000e-02  1.022146e+00 ...  2.980328e+00
   2.656857e+00 -3.247902e+01]
 [ 2.000000e+00  2.000000e-02  5.621719e-02 ...  2.931310e+00
   2.817185e+00 -3.505729e+01]
 ...
 [ 9.300000e+01  9.300000e-01 -2.301529e+01 ... -6.164707e+00
   7.907010e+00  8.721466e+00]
 [ 9.400000e+01  9.400000e-01 -2.717869e+01 ... -6.914915e+00
   7.219627e+00  5.836037e+00]
 [ 9.500000e+01  9.500000e-01 -2.121118e+01 ... -6.952820e+00
   7.402429e+00  9.030304e+00]]"
16,"[[ 0.000000e+00  0.000000e+00  6.435906e+00 ...  9.445824e+00
   3.172470e-01 -2.043252e+01]
 [ 1.000000e+00  1.000000e-02 -1.072264e-01 ...  8.884216e+00
  -8.878428e-01 -1.522093e+01]
 [ 2.000000e+00  2.000000e-02 -3.302268e+00 ...  1.193054e+01
  -3.974415e-01 -1.168166e+01]
 ...
 [ 9.300000e+01  9.300000e-01  1.060365e+00 ... -8.554098e+00
   1.239452e+00 -1.189301e+00]
 [ 9.400000e+01  9.400000e-01  4.791098e+00 ... -4.800047e+00
   1.997286e+00 -3.598091e+00]
 [ 9.500000e+01  9.500000e-01  6.723674e+00 ... -1.698195e+00
  -1.101845e+00 -5.040314e+00]]"
17,"[[ 0.000000e+00  0.000000e+00  2.149719e+00 ...  1.039241e+01
   1.048718e+01 -1.249097e+01]
 [ 1.000000e+00  1.000000e-02 -1.251876e+00 ...  8.403084e+00
   5.940187e+00 -1.732693e+01]
 [ 2.000000e+00  2.000000e-02 -3.702614e+00 ...  1.237360e+01
   5.868048e+00 -1.673580e+01]
 ...
 [ 9.300000e+01  9.300000e-01  3.688192e-01 ...  4.548012e+00
   3.876352e-01 -9.804459e-01]
 [ 9.400000e+01  9.400000e-01  5.460226e+00 ...  3.135337e+00
  -8.192883e-01  2.324234e+00]
 [ 9.500000e+01  9.500000e-01  7.413709e+00 ...  8.882291e-01
   1.047341e+00  3.976028e+00]]"
18,"[[ 0.000000e+00  0.000000e+00 -2.946607e+00 ...  5.090636e+00
   3.140936e+00 -2.389546e+01]
 [ 1.000000e+00  1.000000e-02  6.963585e+00 ...  3.286985e+00
   1.590761e+00 -2.220374e+01]
 [ 2.000000e+00  2.000000e-02  1.167759e+01 ...  4.874259e+00
   3.652558e-01 -1.614451e+01]
 ...
 [ 9.300000e+01  9.300000e-01  2.446417e+00 ... -5.325391e+00
  -8.252465e+00  3.738739e+00]
 [ 9.400000e+01  9.400000e-01  3.306440e+00 ... -3.069308e+00
  -8.824435e+00  3.119316e+00]
 [ 9.500000e+01  9.500000e-01  3.764425e+00 ... -1.924072e+00
  -9.533468e+00  6.058731e-01]]"
19,"[[ 0.000000e+00  0.000000e+00 -5.081348e+00 ... -5.510633e+00
  -5.870550e+00  3.382950e-01]
 [ 1.000000e+00  1.000000e-02 -3.219578e+00 ... -7.679228e+00
  -3.956499e+00 -3.803329e-01]
 [ 2.000000e+00  2.000000e-02 -5.621452e-01 ... -7.862814e+00
  -2.696241e+00  5.892181e-02]
 ...
 [ 9.300000e+01  9.300000e-01 -3.601475e-01 ... -8.358545e-01
  -3.117787e+00  6.464661e+00]
 [ 9.400000e+01  9.400000e-01  5.669775e-01 ... -1.405787e-02
  -1.828615e+00  6.315063e+00]
 [ 9.500000e+01  9.500000e-01  1.955763e+00 ...  7.730875e-01
  -2.285752e+00  5.517441e+00]]"
20,"[[ 0.000000e+00  0.000000e+00 -1.288210e+01 ...  5.808894e+00
   7.136822e-03  6.195068e-02]
 [ 1.000000e+00  1.000000e-02 -1.526245e+01 ...  1.769191e+00
  -2.308204e+00 -1.059280e+00]
 [ 2.000000e+00  2.000000e-02 -1.634126e+01 ...  1.181596e+00
  -6.319284e-01 -1.141365e+00]
 ...
 [ 9.300000e+01  9.300000e-01  7.727512e+00 ... -3.898977e+00
  -3.667305e+00  9.276520e+00]
 [ 9.400000e+01  9.400000e-01  7.057926e+00 ... -4.009562e+00
  -1.384009e+00  9.717262e+00]
 [ 9.500000e+01  9.500000e-01  6.431716e+00 ... -5.177759e+00
  -1.062972e+00  9.322716e+00]]"
21,"[[ 0.000000e+00  0.000000e+00  8.896990e+00 ... -4.629446e-01
   4.458118e+00 -9.792038e+00]
 [ 1.000000e+00  1.000000e-02  9.855312e+00 ... -2.229636e-01
   2.574001e+00 -7.480125e+00]
 [ 2.000000e+00  2.000000e-02  9.127148e+00 ... -2.781544e+00
   7.491493e-02 -5.731949e+00]
 ...
 [ 9.300000e+01  9.300000e-01  4.739288e+00 ... -2.274940e+00
   1.553726e-01 -7.507629e-01]
 [ 9.400000e+01  9.400000e-01  4.396602e+00 ... -2.826780e+00
  -4.055190e-01 -1.868095e+00]
 [ 9.500000e+01  9.500000e-01  5.381802e+00 ... -6.051848e+00
  -2.024001e+00 -2.562195e+00]]"
22,"[[ 0.000000e+00  0.000000e+00 -1.112228e+00 ...  4.761744e-02
  -9.807270e-01 -1.885045e+01]
 [ 1.000000e+00  1.000000e-02 -7.394824e-01 ...  6.236539e-01
   9.922981e-04 -1.808002e+01]
 [ 2.000000e+00  2.000000e-02  3.846610e+00 ...  3.887373e+00
   9.808699e+00 -1.263636e+01]
 ...
 [ 9.300000e+01  9.300000e-01  2.321108e+00 ... -3.219957e+00
   3.520849e+00  1.498558e+00]
 [ 9.400000e+01  9.400000e-01  4.625193e+00 ... -2.994067e+00
   5.065713e+00 -1.857567e+00]
 [ 9.500000e+01  9.500000e-01  6.543393e+00 ... -4.793182e+00
   4.221017e+00 -5.130615e+00]]"
23,"[[ 0.000000e+00  0.000000e+00 -6.786232e+00 ...  1.272636e+01
   2.473033e+00 -2.041095e+01]
 [ 1.000000e+00  1.000000e-02 -1.098313e+01 ...  1.239924e+01
   3.503544e+00 -1.733120e+01]
 [ 2.000000e+00  2.000000e-02 -1.508047e+01 ...  1.067948e+01
   5.176971e+00 -1.447629e+01]
 ...
 [ 9.300000e+01  9.300000e-01  7.907902e+00 ... -5.873266e+00
  -2.503902e+00 -1.903453e+01]
 [ 9.400000e+01  9.400000e-01  9.374844e+00 ... -1.521450e+00
   3.043616e+00 -1.824494e+01]
 [ 9.500000e+01  9.500000e-01  1.148636e+01 ...  3.251046e+00
   3.627383e+00 -4.062546e+00]]"
24,"[[ 0.000000e+00  0.000000e+00  2.105133e+00 ...  1.340089e+01
  -1.519338e+00 -2.560626e+01]
 [ 1.000000e+00  1.000000e-02  2.373298e+00 ...  1.210534e+01
   2.769019e-01 -2.416610e+01]
 [ 2.000000e+00  2.000000e-02 -1.142842e+00 ...  1.131636e+01
   3.169827e+00 -1.857159e+01]
 ...
 [ 9.300000e+01  9.300000e-01 -1.579097e+00 ... -1.121154e+01
  -2.934638e-01  4.023239e+00]
 [ 9.400000e+01  9.400000e-01 -7.816114e-01 ... -9.967462e+00
   4.285000e+00  5.734383e+00]
 [ 9.500000e+01  9.500000e-01 -8.701973e-01 ... -6.243268e+00
   8.021909e+00  6.290237e+00]]"
25,"[[ 0.000000e+00  0.000000e+00 -1.327802e+00 ...  5.677722e+00
  -8.776218e-01  7.434135e+00]
 [ 1.000000e+00  1.000000e-02 -9.297562e-02 ...  4.118163e+00
   1.052227e+00  6.392822e+00]
 [ 2.000000e+00  2.000000e-02  2.642870e-01 ...  2.241396e+00
   3.184421e+00  5.794800e+00]
 ...
 [ 9.300000e+01  9.300000e-01 -6.721919e+00 ...  2.650190e+00
  -1.136045e+00  1.266846e+00]
 [ 9.400000e+01  9.400000e-01 -8.473775e+00 ...  1.841097e+00
   1.497433e+00  3.116226e-01]
 [ 9.500000e+01  9.500000e-01 -7.230930e+00 ...  1.960113e+00
   3.214835e+00 -4.963608e-01]]"
26,"[[ 0.000000e+00  0.000000e+00 -5.991014e+00 ...  4.221143e+00
  -3.427366e+00 -1.527554e+01]
 [ 1.000000e+00  1.000000e-02 -4.283847e+00 ...  4.899272e+00
  -3.636985e+00 -1.469747e+01]
 [ 2.000000e+00  2.000000e-02 -2.693152e-01 ...  9.597406e+00
  -3.002110e+00 -8.897339e+00]
 ...
 [ 9.300000e+01  9.300000e-01 -7.107947e+00 ... -1.287984e+00
   4.217348e-01  5.239487e-01]
 [ 9.400000e+01  9.400000e-01 -1.144034e+01 ...  1.716115e+00
   1.992686e+00  1.182358e+00]
 [ 9.500000e+01  9.500000e-01 -1.626151e+01 ...  5.375191e+00
   3.515199e+00  1.212852e+00]]"
27,"[[ 0.000000e+00  0.000000e+00 -1.151143e+01 ... -1.954494e+00
   3.398316e+00  5.207748e+00]
 [ 1.000000e+00  1.000000e-02 -1.099076e+01 ... -1.218555e+00
   1.894467e+00  4.752731e+00]
 [ 2.000000e+00  2.000000e-02 -9.590676e+00 ...  1.787531e+00
   3.011537e+00  1.429398e+00]
 ...
 [ 9.300000e+01  9.300000e-01  1.533549e+00 ...  1.532536e+00
  -1.191955e-01  7.987366e+00]
 [ 9.400000e+01  9.400000e-01  1.579557e+00 ...  1.982447e+00
  -1.184206e-01  7.812149e+00]
 [ 9.500000e+01  9.500000e-01  2.558990e+00 ...  1.427717e+00
  -3.604141e+00  6.306488e+00]]"
28,"[[ 0.000000e+00  0.000000e+00 -7.312996e+00 ...  4.550750e+00
   3.988162e+00  5.870056e+00]
 [ 1.000000e+00  1.000000e-02 -5.868998e+00 ...  3.040417e+00
   5.495285e+00  6.924873e+00]
 [ 2.000000e+00  2.000000e-02 -4.959104e+00 ...  2.172347e+00
   7.616265e+00  7.396042e+00]
 ...
 [ 9.300000e+01  9.300000e-01  1.547985e+00 ...  1.514418e+00
  -1.778474e+00 -1.571045e-01]
 [ 9.400000e+01  9.400000e-01  1.881867e+00 ...  2.391493e+00
  -2.989158e+00  4.409027e-02]
 [ 9.500000e+01  9.500000e-01  1.594749e+00 ...  2.972193e+00
  -2.904515e+00  6.873627e-01]]"
29,"[[ 0.000000e+00  0.000000e+00 -1.626379e+01 ... -2.497398e+00
   2.274015e+01 -9.964294e+00]
 [ 1.000000e+00  1.000000e-02 -1.681014e+01 ... -1.430243e+00
   2.386577e+01 -1.303773e+01]
 [ 2.000000e+00  2.000000e-02 -1.573175e+01 ... -3.864523e+00
   2.109909e+01 -1.411653e+01]
 ...
 [ 9.300000e+01  9.300000e-01  1.313129e+01 ... -3.819171e+00
  -6.663810e+00 -1.358760e+01]
 [ 9.400000e+01  9.400000e-01  1.344579e+01 ... -5.189533e+00
  -6.991955e+00 -1.494249e+01]
 [ 9.500000e+01  9.500000e-01  1.272359e+01 ... -4.222549e+00
  -9.114815e+00 -1.521621e+01]]"
30,"[[ 0.000000e+00  0.000000e+00  5.695868e-01 ...  3.512294e+00
  -2.051819e+00  7.408989e+00]
 [ 1.000000e+00  1.000000e-02  5.728126e+00 ...  2.879331e+00
  -7.803171e-01  7.103905e+00]
 [ 2.000000e+00  2.000000e-02  9.258783e+00 ...  2.784573e+00
   7.516063e-01  6.919006e+00]
 ...
 [ 9.300000e+01  9.300000e-01  3.053484e-01 ...  1.362105e+00
  -2.646339e-01 -1.640251e+01]
 [ 9.400000e+01  9.400000e-01  1.429294e+00 ...  4.984405e-01
   1.043167e+00 -1.630097e+01]
 [ 9.500000e+01  9.500000e-01  2.228453e+00 ...  2.500074e-01
   4.830551e-01 -1.688802e+01]]"
31,"[[ 0.000000e+00  0.000000e+00  9.285064e+00 ...  4.268186e+00
   2.986455e+00 -1.769128e+01]
 [ 1.000000e+00  1.000000e-02  9.896012e+00 ...  4.520114e+00
   1.403219e+00 -1.180994e+01]
 [ 2.000000e+00  2.000000e-02  8.577644e+00 ...  4.976708e+00
   3.864803e-01 -8.952103e+00]
 ...
 [ 9.300000e+01  9.300000e-01 -2.356263e+00 ...  3.463343e+00
   4.123405e+00  2.534416e+00]
 [ 9.400000e+01  9.400000e-01 -3.170744e+00 ...  1.777919e+00
   3.998056e+00  2.171600e+00]
 [ 9.500000e+01  9.500000e-01 -3.003454e+00 ...  8.541560e-01
   4.602217e+00  1.470604e+00]]"
32,"[[ 0.000000e+00  0.000000e+00  6.461468e+00 ...  9.998672e+00
   5.548586e+00  1.832825e+00]
 [ 1.000000e+00  1.000000e-02  8.330825e+00 ...  8.377542e+00
   1.265817e-01  1.580109e+00]
 [ 2.000000e+00  2.000000e-02  9.281927e+00 ...  6.629221e+00
  -2.311062e+00 -1.036034e+00]
 ...
 [ 9.300000e+01  9.300000e-01  4.468098e+00 ... -3.945606e+00
   2.008683e+00  6.674011e+00]
 [ 9.400000e+01  9.400000e-01  3.832338e+00 ... -7.383734e+00
   1.043865e+00  2.968735e+00]
 [ 9.500000e+01  9.500000e-01  3.101229e+00 ... -7.796867e+00
   2.468878e+00 -7.151642e-01]]"
33,"[[ 0.000000e+00  0.000000e+00  7.286774e+00 ...  3.808173e+00
   8.901933e+00 -1.492145e+01]
 [ 1.000000e+00  1.000000e-02  7.049040e+00 ...  5.197148e+00
   5.741812e+00 -4.501297e+00]
 [ 2.000000e+00  2.000000e-02  5.626402e+00 ...  4.490110e+00
   2.626062e+00  8.221664e-01]
 ...
 [ 9.300000e+01  9.300000e-01  4.271818e+00 ... -4.646501e+00
  -1.349484e+00 -4.596672e+00]
 [ 9.400000e+01  9.400000e-01  4.558075e+00 ... -5.085890e+00
   2.734618e+00 -7.344795e+00]
 [ 9.500000e+01  9.500000e-01  4.519446e+00 ... -3.674147e+00
   6.438385e+00 -9.032997e+00]]"
34,"[[ 0.000000e+00  0.000000e+00 -2.968787e+00 ...  2.576133e+00
  -2.584349e+00  5.882812e+00]
 [ 1.000000e+00  1.000000e-02 -1.064081e+00 ... -1.201335e+00
  -3.935858e+00  2.719711e+00]
 [ 2.000000e+00  2.000000e-02  1.999863e+00 ... -1.262980e-01
  -1.894892e+00 -1.619164e+00]
 ...
 [ 9.300000e+01  9.300000e-01  6.633254e+00 ...  2.564964e+00
   2.600827e+00  8.759811e+00]
 [ 9.400000e+01  9.400000e-01  5.841181e+00 ...  2.413423e+00
   1.755578e+00  7.936050e+00]
 [ 9.500000e+01  9.500000e-01  5.395432e+00 ...  3.823795e+00
  -6.831926e-02  7.674026e+00]]"
35,"[[ 0.000000e+00  0.000000e+00 -2.242855e+00 ...  1.748935e+00
  -3.898224e+00 -1.530046e+01]
 [ 1.000000e+00  1.000000e-02 -4.530421e+00 ...  5.276981e+00
  -2.985074e+00 -1.565229e+01]
 [ 2.000000e+00  2.000000e-02 -2.559013e+00 ...  7.149156e+00
  -1.965032e+00 -1.688533e+01]
 ...
 [ 9.300000e+01  9.300000e-01  4.188630e+00 ... -7.234447e+00
  -7.562609e-01 -3.449944e+00]
 [ 9.400000e+01  9.400000e-01  4.429592e+00 ... -7.888952e+00
   2.076745e+00 -2.407028e+00]
 [ 9.500000e+01  9.500000e-01  2.510437e+00 ... -8.661803e+00
   1.678362e+00 -3.932877e-01]]"
36,"[[ 0.000000e+00  0.000000e+00  2.403760e-01 ... -2.051080e+00
  -1.566217e+00 -6.576065e+00]
 [ 1.000000e+00  1.000000e-02  6.209578e+00 ... -7.924053e+00
  -5.231077e+00 -2.703217e+00]
 [ 2.000000e+00  2.000000e-02  1.081541e+01 ... -9.785538e+00
  -8.555110e+00 -2.269203e+00]
 ...
 [ 9.300000e+01  9.300000e-01 -1.123808e+01 ... -3.542233e+00
   1.101461e+00  3.324928e+00]
 [ 9.400000e+01  9.400000e-01 -9.499724e+00 ... -3.386323e+00
  -1.124716e+00  9.647659e+00]
 [ 9.500000e+01  9.500000e-01 -6.798175e+00 ...  9.903622e-02
  -9.432169e-01  1.177048e+01]]"
37,"[[ 0.000000e+00  0.000000e+00  8.322491e+00 ... -8.511569e-01
   7.744074e-02 -2.784721e+00]
 [ 1.000000e+00  1.000000e-02  7.524926e+00 ...  1.329161e+00
   1.455977e+00  2.100952e+00]
 [ 2.000000e+00  2.000000e-02  6.655251e+00 ...  5.440533e-01
   9.976043e-01  3.049995e+00]
 ...
 [ 9.300000e+01  9.300000e-01 -9.407452e+00 ... -1.715274e+00
  -9.570937e-01 -9.275131e-01]
 [ 9.400000e+01  9.400000e-01 -8.412264e+00 ... -7.770150e-01
  -1.096714e+00 -3.828049e-01]
 [ 9.500000e+01  9.500000e-01 -7.680475e+00 ...  2.332003e+00
  -8.189521e-01 -1.138885e+00]]"
